clave,clave_yahoo,nombre
ICH,ICH.MX,"INDUSTRIAS CH, S.A.B. DE C.V."
IDEAL,IDEAL.MX,"IMPULSORA DEL DESARROLLO Y EL EMPLEO EN AMERICA LATINA, S.A.B. DE C.V."
IENOVA,IENOVA.MX,"INFRAESTRUCTURA ENERGETICA NOVA, S.A.B. DE C.V."
INCARSO,INCARSO.MX,"Inmuebles Carso, S.A.B. de C.V."
INVEX,INVEX.MX,"INVEX CONTROLADORA, S.A.B. DE C.V."
KIMBER,KIMBER.MX,KIMBERLY - CLARK DE MEXICO S.A.B. DE C.V.
KOF,KOF.MX,"COCA-COLA FEMSA, S.A.B. DE C.V."
KUO,KUO.MX,"GRUPO KUO, S.A.B. DE C.V."
LAB,LAB.MX,"GENOMMA LAB INTERNACIONAL, S.A.B. DE C.V."
LALA,LALA.MX,"GRUPO LALA, S.A.B. DE C.V."
LAMOSA,LAMOSA.MX,"GRUPO LAMOSA, S.A.B. DE C.V."
LASEG,LASEG.MX,"LA LATINOAMERICANA SEGUROS, S.A."
LIVEPOL,LIVEPOL.MX,"EL PUERTO DE LIVERPOOL, S.A.B. DE C.V."
MASECA,MASECA.MX,"GRUPO INDUSTRIAL MASECA, S.A.B. DE C.V."
MAXCOM,MAXCOM.MX,"MAXCOM TELECOMUNICACIONES, S.A.B. DE C.V."
MEDICA,MEDICA.MX,"MEDICA SUR, S.A.B. DE C.V."
MEGA,MEGA.MX,"MEGACABLE HOLDINGS, S.A.B. DE C.V."
MEXCHEM,MEXCHEM.MX,"MEXICHEM, S.A.B. DE C.V."
MFRISCO,MFRISCO.MX,"MINERA FRISCO, S.A.B. DE C.V."
MINSA,MINSA.MX,"GRUPO MINSA, S.A.B. DE C.V."
MONEX,MONEX.MX,"HOLDING MONEX, S.A.B. DE C.V."
OHLMEX,OHLMEX.MX,"OHL MEXICO, S.A.B. DE C.V."
OMA,OMA.MX,"GRUPO AEROPORTUARIO DEL CENTRO NORTE, S.A.B. DE C.V."
PAPPEL,PAPPEL.MX,"BIO PAPPEL, S.A.B. DE C.V."
PASA,PASA.MX,"PROMOTORA AMBIENTAL, S.A.B. DE C.V."
PE&OLES,PE&OLES.MX,"INDUSTRIAS PEÑOLES, S. A.B. DE C. V."
PINFRA,PINFRA.MX,"PROMOTORA Y OPERADORA DE INFRAESTRUCTURA, S.A.B. DE C.V."
POCHTEC,POCHTEC.MX,"GRUPO POCHTECA, S.A.B. DE C.V."
POSADAS,POSADAS.MX,"GRUPO POSADAS, S.A.B. DE C.V."
PROCORP,PROCORP.MX,"PROCORP, S.A. DE C.V., SOCIEDAD DE INV. DE CAPITAL DE RIESGO"
PV,PV.MX,PEÑA VERDE S.A.B.
QBINDUS,QBINDUS.MX,"Q.B. INDUSTRIAS, S.A. DE C.V."
QC,QC.MX,"QUÁLITAS CONTROLADORA, S.A.B. DE C.V."
QUMMA,QUMMA.MX,"GRUPO QUMMA, S.A. DE C.V."
RCENTRO,RCENTRO.MX,"GRUPO RADIO CENTRO, S.A.B. DE C.V."
REALTUR,REALTUR.MX,REAL TURISMO S.A. DE C.V.
SAB,SAB.MX,"GRUPO CASA SABA, S.A.B. DE C.V."
SAN,SAN.MX,"BANCO SANTANDER, S.A."
SANLUIS,SANLUIS.MX,"SANLUIS CORPORACION, S.A.B. DE C. V."
SANMEX,SANMEX.MX,"GRUPO FINANCIERO SANTANDER MEXICO, S.A.B. DE C.V."
SARE,SARE.MX,"SARE HOLDING, S.A.B. DE C.V."
SAVIA,SAVIA.MX,"SAVIA, S.A. DE C.V."
SIMEC,SIMEC.MX,"GRUPO SIMEC, S.A.B. DE C.V."
SORIANA,SORIANA.MX,"ORGANIZACION SORIANA, S.A.B. DE C.V."
SPORT,SPORT.MX,"GRUPO SPORTS WORLD, S.A.B. DE C.V."
TEAK,TEAK.MX,"PROTEAK UNO, S.A.B. DE C.V."
TEKCHEM,TEKCHEM.MX,"TEKCHEM, S.A.B. DE C.V."
TERRA,TERRA.MX,"THE BANK OF NEW YORK MELLON, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE"
TLEVISA,TLEVISA.MX,"GRUPO TELEVISA, S.A.B."
TMM,TMM.MX,"GRUPO TMM, S.A."
TS,TS.MX,TENARIS S.A.
URBI,URBI.MX,"URBI DESARROLLOS URBANOS, S.A.B. DE C.V."
VALUEGF,VALUEGF.MX,"VALUE GRUPO FINANCIERO, S.A.B. DE C.V."
VASCONI,VASCONI.MX,GRUPO VASCONIA S.A.B.
VESTA,VESTA.MX,"CORPORACIÓN INMOBILIARIA VESTA, S.A.B. DE C.V."
VITRO,VITRO.MX,"VITRO, S.A.B. DE C.V."
VOLAR,VOLAR.MX,"CONTROLADORA VUELA COMPAÑÍA DE AVIACIÓN, S.A.B. DE C.V."
WALMEX,WALMEX.MX,"WAL - MART DE MEXICO, S.A.B. DE C.V."
